Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
22-07-2019,566.80,568.57,543.25,553.74,29092589
23-07-2019,563.72,572.73,557.90,568.79,20316348
24-07-2019,557.32,566.04,554.87,563.70,15189179
25-07-2019,545.11,561.73,543.12,559.49,21805071
26-07-2019,537.27,549.98,535.59,545.11,20387504
29-07-2019,536.01,540.90,533.42,538.65,17626045
30-07-2019,522.71,540.02,520.52,537.34,20853117
31-07-2019,516.23,524.53,514.52,520.43,21229950
01-08-2019,522.42,525.94,509.19,514.96,22628222
02-08-2019,527.38,533.57,517.48,523.53,23766807
05-08-2019,509.13,519.66,502.29,519.66,30399133
06-08-2019,502.43,511.91,499.62,505.30,29067994
07-08-2019,494.01,506.99,491.20,501.62,25349369
08-08-2019,513.13,515.65,487.73,493.54,31198568
09-08-2019,517.48,523.44,513.11,517.37,21970009
13-08-2019,567.64,580.13,545.93,549.11,104827144
14-08-2019,573.65,580.86,570.13,580.66,31688983
16-08-2019,569.09,575.23,566.86,574.96,21977767
19-08-2019,575.59,577.46,569.98,570.44,16317602
20-08-2019,568.17,575.59,566.68,574.34,14969299
21-08-2019,565.95,569.38,563.97,568.04,10677848
22-08-2019,555.17,565.97,551.68,565.95,14031953
23-08-2019,568.13,571.76,546.15,551.72,21307915
26-08-2019,564.10,576.21,560.63,576.21,19202504
27-08-2019,567.68,572.20,561.60,572.20,28401906
28-08-2019,562.54,570.42,559.31,567.19,11605488
29-08-2019,552.94,561.18,550.07,559.49,18890222
30-08-2019,555.97,558.58,543.70,554.61,24735240
03-09-2019,537.20,553.50,534.35,553.17,18730619
04-09-2019,534.87,536.69,528.14,534.60,32949395
05-09-2019,533.73,540.23,531.37,537.38,22995486
06-09-2019,544.37,547.27,532.24,535.69,23186819
09-09-2019,544.24,549.05,540.21,543.55,11747929
11-09-2019,549.67,552.16,544.37,544.37,12127900
12-09-2019,538.96,552.37,536.89,549.94,11880005
13-09-2019,545.75,547.04,537.43,539.70,12947715
16-09-2019,539.14,542.86,528.16,529.45,20547730
17-09-2019,533.22,539.25,531.46,539.25,15640772
18-09-2019,536.89,541.61,533.11,536.56,14933909
19-09-2019,525.02,538.67,522.17,537.85,13766222
20-09-2019,558.55,565.48,522.91,528.99,48165560
23-09-2019,551.81,570.42,549.94,567.37,21610844
24-09-2019,569.40,578.35,553.39,553.77,34958974
25-09-2019,569.78,576.66,565.01,571.76,18192270
26-09-2019,577.46,578.35,571.54,575.32,18350457
27-09-2019,582.91,585.56,571.76,575.54,19058663
30-09-2019,593.24,594.80,581.35,583.34,25263770
01-10-2019,581.06,597.58,575.90,595.36,17920384
03-10-2019,583.80,585.43,570.56,572.65,13524851
04-10-2019,582.49,591.62,580.60,587.74,14992253
07-10-2019,583.38,588.14,579.64,582.49,10061584
09-10-2019,589.90,592.22,575.54,582.76,17588647
10-10-2019,606.82,609.61,588.23,590.01,35006390
11-10-2019,602.30,608.09,595.16,607.25,16597126
14-10-2019,604.71,607.80,601.53,607.80,13394275
15-10-2019,607.45,610.05,603.06,606.71,9672791
16-10-2019,611.10,614.35,607.25,610.01,19403660
