Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
06-09-2018,474.03,475.60,469.51,473.29,10402412
07-09-2018,475.13,475.84,471.39,473.76,5919300
10-09-2018,471.48,474.68,467.77,474.68,8598592
11-09-2018,462.07,473.06,460.63,472.67,18186536
12-09-2018,464.71,466.91,459.56,462.42,12246008
14-09-2018,468.81,470.62,466.35,466.56,10334672
17-09-2018,460.17,467.28,459.20,466.90,9338220
18-09-2018,459.48,464.25,457.58,460.80,9325736
19-09-2018,453.05,461.51,451.93,460.79,16712264
21-09-2018,455.10,461.94,441.23,455.95,22610148
24-09-2018,444.81,455.55,442.34,454.41,13390792
25-09-2018,450.98,453.20,442.34,444.81,16682552
26-09-2018,454.63,456.89,451.65,453.42,14726724
27-09-2018,456.47,458.74,451.62,454.91,18352208
28-09-2018,463.37,465.55,456.70,457.51,14460716
01-10-2018,470.17,471.68,461.47,464.24,12449588
03-10-2018,469.17,474.03,463.59,469.01,15332148
04-10-2018,452.22,466.09,448.81,463.82,17970584
05-10-2018,453.96,459.67,448.15,451.34,15729180
08-10-2018,449.27,454.82,445.81,453.89,20128020
09-10-2018,448.26,453.89,445.81,449.13,12459364
10-10-2018,454.39,457.88,447.08,449.27,15939932
11-10-2018,447.55,450.03,442.94,444.65,14359904
12-10-2018,457.78,461.31,448.58,449.27,9600320
15-10-2018,463.84,464.47,455.12,459.67,12585968
16-10-2018,460.30,466.18,459.09,462.67,9406004
17-10-2018,456.11,464.98,453.55,463.39,7940796
19-10-2018,454.53,457.55,452.27,452.48,9867348
22-10-2018,461.72,466.60,459.34,465.21,20331160
23-10-2018,458.48,461.72,455.74,455.74,19428564
24-10-2018,460.19,464.01,455.65,462.90,18072336
25-10-2018,454.77,462.81,453.30,455.88,29847056
26-10-2018,453.01,456.71,450.20,454.77,15155712
29-10-2018,444.95,453.88,437.77,453.68,17044280
30-10-2018,441.82,446.27,438.72,444.65,13828704
31-10-2018,441.59,443.01,435.41,439.35,23449404
01-11-2018,441.70,445.81,437.95,445.81,19629052
02-11-2018,450.30,452.74,441.65,444.88,30092868
05-11-2018,451.81,452.66,447.66,450.40,5705296
06-11-2018,449.63,456.43,448.80,451.58,8485588
07-11-2018,452.26,453.88,450.43,452.97,958760
09-11-2018,449.36,452.71,447.26,452.32,10101620
12-11-2018,443.74,453.20,442.84,450.77,7907764
13-11-2018,445.29,447.59,440.77,443.27,13350420
14-11-2018,452.22,452.74,447.33,447.78,26110636
15-11-2018,456.24,456.73,446.08,453.18,10392524
16-11-2018,462.97,464.98,457.36,457.59,15813216
19-11-2018,465.19,466.83,462.42,464.52,12286428
20-11-2018,464.85,466.50,461.76,464.98,5705168
21-11-2018,466.31,467.51,462.90,464.92,6545604
22-11-2018,463.25,470.06,462.01,465.04,12974552
26-11-2018,473.48,473.99,464.76,465.19,18184436
27-11-2018,476.76,477.66,471.39,471.46,12895440
28-11-2018,482.59,484.75,475.86,476.99,13021108
29-11-2018,492.25,493.71,483.69,485.31,31908636
30-11-2018,491.65,493.75,487.39,492.00,13040924
03-12-2018,488.15,494.78,486.67,492.24,10799856
04-12-2018,481.74,487.62,480.13,486.32,8157420
05-12-2018,484.89,486.30,479.52,479.99,11798844
06-12-2018,484.39,485.46,481.61,482.70,11730252
07-12-2018,486.83,489.23,480.52,486.62,9903920
10-12-2018,482.48,486.18,477.20,477.20,10915056
11-12-2018,475.73,478.45,469.37,474.91,18905780
12-12-2018,481.68,482.72,475.86,477.44,11370488
13-12-2018,485.38,490.85,483.07,483.92,7064236
14-12-2018,484.08,489.23,482.31,486.21,6158284
17-12-2018,492.05,492.61,484.84,486.00,8437324
18-12-2018,493.26,494.08,485.68,490.62,7413968
19-12-2018,490.49,498.80,488.21,492.72,9009896
20-12-2018,493.73,494.42,485.69,487.97,7980476
21-12-2018,487.65,496.42,487.17,492.93,10220308
24-12-2018,480.61,486.00,479.84,486.00,5601488
26-12-2018,490.24,491.31,477.91,479.76,7601916
27-12-2018,486.24,493.90,484.72,492.70,11639868
28-12-2018,490.36,493.80,488.66,489.08,9415612
31-12-2018,490.09,493.62,488.93,493.62,5866528
01-01-2019,496.19,496.86,486.37,491.46,6373440
02-01-2019,491.66,496.05,489.63,494.96,8134232
03-01-2019,487.80,491.60,485.77,490.67,12771664
04-01-2019,489.11,491.66,487.47,488.60,7287120
07-01-2019,489.85,493.24,489.23,491.47,5387012
08-01-2019,485.77,490.50,484.30,490.16,8343460
09-01-2019,488.96,490.01,485.68,489.23,8568628
10-01-2019,487.04,490.57,483.38,489.00,7691540
11-01-2019,487.82,490.62,486.92,488.26,6408040
14-01-2019,485.46,487.36,484.72,487.36,4855160
15-01-2019,490.13,491.20,485.54,486.24,5087556
16-01-2019,489.74,490.85,486.98,489.71,5252452
17-01-2019,492.54,493.37,488.16,490.91,8240228
18-01-2019,492.06,494.08,488.44,493.16,5207976
21-01-2019,496.20,500.44,491.20,494.30,17561512
22-01-2019,493.36,495.89,491.79,495.70,8796976
23-01-2019,486.32,493.36,485.41,492.93,7624288
24-01-2019,485.60,490.08,484.59,487.39,10111572
25-01-2019,484.15,487.39,482.77,483.46,11262236
28-01-2019,481.41,485.55,479.70,482.77,15360436
29-01-2019,475.28,481.15,474.22,480.05,14762788
30-01-2019,469.99,475.20,468.44,475.20,18514160
31-01-2019,480.44,482.71,467.06,469.14,16579404
01-02-2019,482.87,489.00,479.67,480.44,15654188
04-02-2019,486.21,488.08,481.07,483.92,7938288
05-02-2019,488.32,489.46,484.38,486.92,8690288
06-02-2019,490.31,491.31,488.22,488.83,10875684
07-02-2019,489.06,492.00,486.43,490.86,7217308
08-02-2019,490.31,495.46,486.61,487.85,12235644
11-02-2019,494.23,494.98,488.15,488.15,7036364
12-02-2019,491.94,496.16,490.80,493.85,9772388
14-02-2019,487.43,494.31,486.37,494.31,7441388
15-02-2019,485.23,486.95,480.04,486.77,8416524
18-02-2019,482.74,489.23,481.84,486.65,7138744
19-02-2019,481.39,486.96,480.04,482.70,5268636
20-02-2019,487.00,487.62,480.89,482.42,4892500
21-02-2019,488.75,489.68,483.60,485.47,5261544
22-02-2019,483.10,491.57,482.56,489.56,8890708
25-02-2019,490.94,491.99,483.95,483.95,8140596
26-02-2019,487.54,490.85,485.33,487.67,9607428
27-02-2019,483.29,490.72,482.34,488.79,7030092
