Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
08-05-2018,458.36,463.22,456.59,463.22,5718556
09-05-2018,460.38,462.82,457.36,459.13,3783504
10-05-2018,459.32,465.22,457.30,462.47,3182862
11-05-2018,464.34,465.30,458.56,461.01,3311706
14-05-2018,467.70,468.56,460.11,465.75,4432094
15-05-2018,469.76,475.05,467.23,467.23,5611974
16-05-2018,467.95,471.12,465.81,466.89,6205004
17-05-2018,465.18,470.90,461.50,470.33,9519598
18-05-2018,465.30,466.62,461.29,465.22,7139660
21-05-2018,463.84,467.34,460.11,463.86,8475320
22-05-2018,469.49,471.12,461.64,462.07,5636804
23-05-2018,465.97,474.91,464.63,469.94,9538442
24-05-2018,480.16,482.74,471.12,471.12,9740570
25-05-2018,483.04,491.04,480.09,483.74,8901438
28-05-2018,477.57,484.73,474.27,484.10,5739794
29-05-2018,478.47,482.35,474.34,477.43,3388934
30-05-2018,476.51,483.21,474.11,478.59,6323066
31-05-2018,484.41,488.42,475.94,476.51,19720340
01-06-2018,480.09,490.09,478.67,483.86,4998356
04-06-2018,487.40,488.82,476.63,480.20,4270156
05-06-2018,480.11,488.42,478.59,488.42,4710862
06-06-2018,486.63,488.25,479.79,481.82,4038184
07-06-2018,492.53,494.71,486.85,486.85,6676226
08-06-2018,495.52,496.29,490.02,490.78,6459878
11-06-2018,496.45,499.43,493.55,497.68,5171290
12-06-2018,494.91,499.93,491.75,497.76,7839820
13-06-2018,501.32,504.94,498.18,498.18,5766928
14-06-2018,499.47,504.83,497.21,504.83,7598848
15-06-2018,516.21,520.34,497.57,498.38,19957760
18-06-2018,510.63,520.24,508.59,517.32,8214846
19-06-2018,500.23,509.02,498.80,508.86,7545700
20-06-2018,500.86,504.56,498.78,503.01,5371802
21-06-2018,502.23,506.24,497.98,501.99,5798790
22-06-2018,502.75,505.83,500.07,500.80,4343118
25-06-2018,512.66,515.22,505.23,506.50,7731178
26-06-2018,514.84,517.28,510.17,511.27,4483504
27-06-2018,511.68,521.12,509.90,517.30,6952142
28-06-2018,519.57,522.96,514.19,514.21,10996818
29-06-2018,526.66,529.81,517.01,522.98,9966600
02-07-2018,537.74,539.88,529.40,529.40,4830144
03-07-2018,545.42,547.09,536.55,536.62,8127452
04-07-2018,541.97,544.98,539.42,544.73,5025722
05-07-2018,517.32,542.80,510.91,542.74,17019902
06-07-2018,517.42,524.51,511.27,519.83,11215356
09-07-2018,523.30,524.97,515.32,522.55,6644998
10-07-2018,524.33,529.99,521.47,527.19,5974488
11-07-2018,532.00,540.72,520.28,530.83,11899832
12-07-2018,521.49,534.68,517.50,534.28,13272240
13-07-2018,530.77,536.49,523.10,529.81,19496158
16-07-2018,537.00,557.77,518.81,530.77,35344680
17-07-2018,535.00,543.71,528.88,535.73,11161690
18-07-2018,532.85,541.25,529.40,539.80,6919016
19-07-2018,530.49,536.62,527.43,533.03,5118864
20-07-2018,543.14,550.82,532.34,534.24,11705738
23-07-2018,546.30,551.16,538.37,544.77,7675702
24-07-2018,554.85,556.96,546.33,553.74,6172246
25-07-2018,557.51,561.55,550.13,555.59,6936922
