Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
14-06-2018,516.61,519.15,500.68,504.37,12154425
15-06-2018,527.74,530.10,518.23,519.15,15166730
18-06-2018,526.63,534.21,520.91,528.39,6090932
19-06-2018,517.26,532.55,515.78,526.54,6719183
20-06-2018,521.09,522.57,510.93,516.38,4435880
21-06-2018,512.22,524.19,510.47,521.92,3243433
22-06-2018,533.24,537.44,505.90,510.84,9935404
25-06-2018,528.21,546.86,524.65,532.92,14303449
26-06-2018,529.27,532.55,522.66,527.79,4726890
27-06-2018,532.92,537.35,525.16,533.01,8539318
28-06-2018,524.05,538.74,521.18,533.70,5516028
29-06-2018,521.00,528.30,517.44,525.62,4416940
02-07-2018,520.21,529.18,515.92,523.12,4132132
03-07-2018,529.87,532.82,517.95,521.74,5950013
04-07-2018,535.13,543.96,529.36,532.08,9406196
05-07-2018,523.72,536.70,521.83,536.70,3833300
06-07-2018,515.55,529.54,512.69,524.14,5609846
09-07-2018,525.43,528.94,517.86,517.86,4117856
10-07-2018,520.95,528.39,515.46,525.62,4594276
11-07-2018,518.00,526.27,516.94,521.88,3519985
12-07-2018,521.42,527.19,515.46,520.08,3736611
13-07-2018,517.07,523.77,514.58,523.59,2012823
16-07-2018,493.24,517.30,490.24,516.84,4267330
17-07-2018,506.82,509.68,492.36,494.21,3699579
18-07-2018,507.97,516.57,501.46,512.64,5720388
19-07-2018,503.40,511.58,500.91,510.28,2767826
20-07-2018,517.40,520.08,503.45,503.45,2702091
23-07-2018,518.92,523.77,515.00,519.80,2459719
24-07-2018,519.80,525.16,516.43,519.24,2480730
25-07-2018,515.60,524.09,513.15,523.22,2161490
26-07-2018,513.06,520.82,509.45,511.72,3113443
27-07-2018,514.58,518.23,511.07,513.52,2638153
30-07-2018,519.80,523.54,509.87,512.96,3441224
31-07-2018,525.16,531.85,517.44,519.61,5998010
01-08-2018,530.84,532.82,520.81,526.54,3672172
02-08-2018,536.15,542.75,531.44,531.99,5898107
03-08-2018,541.18,544.46,539.34,539.38,3298774
06-08-2018,532.22,548.16,531.25,541.78,3867267
07-08-2018,526.27,538.09,524.93,536.20,3076068
08-08-2018,530.24,534.26,521.28,526.54,2970652
09-08-2018,527.88,540.31,520.12,531.35,4595269
10-08-2018,511.76,526.27,507.00,522.94,6086714
13-08-2018,520.91,524.23,510.47,514.44,3254839
14-08-2018,555.92,563.49,517.40,522.39,25001972
16-08-2018,572.45,574.30,556.29,563.49,25169096
17-08-2018,575.96,585.11,571.81,575.50,14161255
20-08-2018,578.60,582.85,572.96,577.35,9494515
21-08-2018,586.96,590.70,573.19,579.10,7752348
23-08-2018,590.88,596.29,585.94,591.11,8942755
24-08-2018,581.78,591.02,571.53,589.59,7909136
27-08-2018,574.39,588.06,573.33,584.09,8253456
28-08-2018,573.84,585.15,571.90,577.35,4181613
29-08-2018,573.88,582.89,569.77,576.33,4435825
30-08-2018,591.16,593.05,574.72,575.96,9022572
31-08-2018,603.08,609.13,594.25,594.39,12972927
03-09-2018,606.17,622.15,601.60,608.57,12185947
04-09-2018,605.39,612.87,595.96,607.83,7989190
05-09-2018,613.14,620.58,603.91,604.23,9140409
06-09-2018,625.75,627.51,612.68,617.07,7815292
07-09-2018,613.61,618.92,591.21,600.44,22074525
10-09-2018,589.36,616.38,586.91,606.45,9930755
11-09-2018,582.34,599.89,579.70,593.98,8273963
12-09-2018,600.35,604.51,572.82,577.35,11215125
14-09-2018,614.53,619.75,607.83,614.30,7444874
17-09-2018,598.73,619.16,596.88,612.45,6264996
18-09-2018,595.30,607.53,593.45,598.92,5780144
19-09-2018,601.19,608.97,594.47,604.06,7659788
21-09-2018,588.26,606.89,569.36,602.25,9635852
24-09-2018,578.16,595.72,570.75,591.13,5305739
25-09-2018,594.01,597.62,578.21,578.26,7213759
26-09-2018,592.85,602.07,586.09,602.07,4850782
27-09-2018,584.88,596.65,579.28,594.56,4070395
28-09-2018,577.47,589.61,570.84,583.72,6693066
01-10-2018,588.08,592.06,565.19,578.16,5527208
03-10-2018,575.24,593.68,573.07,589.75,4723773
04-10-2018,555.05,575.15,547.45,572.60,4851894
05-10-2018,554.03,571.08,547.63,551.29,6804502
08-10-2018,559.86,564.03,545.83,548.51,4400199
09-10-2018,564.96,571.96,553.70,563.34,4516779
10-10-2018,558.66,573.99,549.44,565.19,5566798
11-10-2018,543.60,558.94,539.90,546.66,4591533
12-10-2018,547.22,553.84,539.85,547.68,5795641
15-10-2018,555.88,559.12,543.56,550.09,3422475
16-10-2018,558.43,567.04,549.30,557.73,3557343
17-10-2018,549.86,564.64,547.59,564.64,2629035
19-10-2018,565.15,566.58,546.75,548.42,4841857
22-10-2018,562.32,571.49,559.12,565.84,4362446
23-10-2018,533.55,561.11,530.68,560.56,4538253
24-10-2018,528.78,541.10,520.21,540.18,5820242
25-10-2018,517.71,530.40,511.54,523.73,6105402
26-10-2018,513.35,520.25,509.60,517.71,4002009
29-10-2018,531.47,535.17,513.72,513.77,3640433
30-10-2018,520.76,533.60,518.54,529.89,2783468
31-10-2018,537.63,539.25,519.28,521.23,5896444
01-11-2018,529.84,541.56,526.28,538.55,2779373
02-11-2018,529.84,537.16,526.55,531.84,2688591
05-11-2018,529.61,541.06,522.80,529.06,2962317
06-11-2018,536.79,542.86,532.76,533.74,3500726
07-11-2018,539.53,540.73,537.40,540.18,298414
09-11-2018,553.56,560.37,540.27,544.53,6848765
12-11-2018,546.20,556.85,543.88,556.30,4284490
13-11-2018,520.49,549.35,515.39,546.20,9176639
14-11-2018,481.90,517.75,478.10,516.27,25499010
15-11-2018,477.26,489.22,470.78,483.66,11390206
16-11-2018,481.57,486.95,475.69,480.32,5732203
19-11-2018,492.50,493.85,481.52,486.44,5239761
20-11-2018,486.85,493.48,483.01,491.07,3084743
21-11-2018,493.71,496.91,486.90,486.90,4029454
22-11-2018,487.32,493.38,486.20,493.38,2263069
26-11-2018,473.23,489.35,469.20,488.29,5189359
27-11-2018,457.57,481.20,439.65,480.78,39588964
28-11-2018,450.30,465.50,446.13,453.08,11393583
29-11-2018,448.82,455.35,443.54,453.08,7391256
30-11-2018,456.42,457.67,446.36,451.18,6544665
03-12-2018,421.95,427.14,408.74,416.94,61492013
04-12-2018,410.37,430.57,409.12,424.13,36233775
05-12-2018,382.62,412.54,372.01,410.46,48891969
06-12-2018,389.29,399.80,382.66,385.44,56087131
07-12-2018,381.04,394.71,378.17,393.78,23905860
10-12-2018,369.69,379.19,367.88,375.25,24690744
11-12-2018,391.28,393.60,361.91,361.91,24688467
12-12-2018,399.76,401.84,392.02,395.36,16244450
13-12-2018,391.09,397.77,387.30,391.00,16853821
14-12-2018,389.75,394.71,386.46,390.96,8144364
17-12-2018,390.03,394.15,389.15,390.82,6151952
18-12-2018,401.61,402.95,388.08,390.07,14402058
19-12-2018,392.67,402.49,391.74,401.61,7882841
20-12-2018,397.53,399.34,390.63,391.00,6156074
21-12-2018,394.06,401.19,391.93,397.95,7315242
24-12-2018,393.18,402.12,391.28,395.68,7052582
